"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000370",14701.2974720746,1.39742548330219,0.0381857628243029,36.5954580960423,3.37769936921554e-293,2.89772828885001e-289
"FBgn0030362",17841.2927706417,1.32864550953289,0.0401104608278828,33.1246632950494,1.31230395079733e-240,5.62912779694516e-237
"FBgn0086904",17432.4005187611,1.34867356636206,0.0424617689907427,31.7620673471257,2.16363913004428e-221,6.18728669888328e-218
"FBgn0039830",13275.089132169,1.28122170607535,0.0415545926069325,30.8322528437351,9.68884163604817e-209,2.07801430989143e-205
"FBgn0022893",15153.8302331199,1.34454689631387,0.0452316698488473,29.7257850706596,3.56592782768898e-194,6.11841896674875e-191
"FBgn0263598",5920.99005417763,1.3281338831773,0.0454896661661641,29.1963866766115,2.15525467882158e-187,3.08165498160172e-184
"FBgn0025682",12078.1250009134,1.40630800288329,0.0484242782187263,29.0413828479008,1.97701474884404e-185,2.42297279004758e-182
"FBgn0267330",5271.55135056894,1.33877617876217,0.0485896088768653,27.5527259779939,4.10477258905652e-167,4.40185550518949e-164
"FBgn0020235",14577.9746106815,1.16837048095899,0.0425555956760005,27.4551551305836,6.02963359494e-166,5.74758073455448e-163
"FBgn0033246",13160.4761532823,1.14752468367609,0.0420331943333224,27.3004396138977,4.19092843045637e-164,3.59539750048852e-161
"FBgn0025286",26164.4364193442,0.995257388553535,0.0366347568681753,27.1670258966047,1.59359322551253e-162,1.24285784378836e-159
"FBgn0010408",14621.3389569915,1.01606133008948,0.0378282458411779,26.8598584865769,6.47031781365729e-159,4.62573804361382e-156
"FBgn0011604",4323.84260865285,1.15520637667302,0.0459191964404535,25.1573735217917,1.17361699535738e-139,7.7449693870546e-137
"FBgn0016081",7728.13350158366,1.17163990581062,0.0476487455656147,24.5891028589035,1.65216376920737e-133,1.01242235543071e-130
"FBgn0000412",4436.48828960996,1.2657267488762,0.0517219819149708,24.4717371998044,2.95440819274384e-132,1.68972452570329e-129
"FBgn0033913",8568.75637705186,1.16647342088243,0.0488237751055174,23.8915040543559,3.7534677675181e-126,2.01256249859611e-123
"FBgn0266410",2436.19368538095,1.48190062077162,0.0629227970802208,23.5510926013402,1.22340939707863e-122,6.17389953972799e-120
"FBgn0004167",42209.8807476315,0.910579808032563,0.0390874335839027,23.2959732717669,4.8701255836927e-120,2.32115596569443e-117
"FBgn0262114",3670.56290039281,1.17811083978402,0.0510761066287271,23.0657917673272,1.0212916170645e-117,4.61140041199808e-115
"FBgn0024238",5688.8876164003,1.15222332754499,0.0502100200941606,22.9480754117243,1.54013922566665e-116,6.60642720849708e-114
"FBgn0029155",4150.83368440697,1.10499295761832,0.0487162779637353,22.682212266727,6.71280724839366e-114,2.74234158971282e-111
"FBgn0027779",2849.24908282712,1.24770805834564,0.0555240788253237,22.4714769653518,7.89226471171451e-112,3.07762449826358e-109
"FBgn0027835",15087.381018469,0.998051799752447,0.0445375710395041,22.4092103915409,3.20062211498471e-111,1.1938320488893e-108
"FBgn0004924",4539.96643910694,1.15152729793128,0.0514406520105211,22.3855502005644,5.4429636921314e-111,1.86780742059181e-108
"FBgn0025628",9986.43249399193,0.965991501460969,0.0431499219526063,22.3868655549821,5.28471867080776e-111,1.86780742059181e-108
"FBgn0028479",5298.28583224365,1.30417308364264,0.0583878898849532,22.3363626637709,1.63854717183124e-110,5.40657545659239e-108
"FBgn0021979",2856.29607746823,1.18864805359198,0.0534686973041348,22.2307277626541,1.73302177259987e-109,5.50651621745714e-107
"FBgn0039450",2283.76008408987,1.22535631908717,0.0561477834401972,21.823770129631,1.3800001630555e-105,4.22822192816185e-103
"FBgn0038108",9478.97072454435,1.07218111941833,0.0493432831460875,21.7290186436114,1.09109001338611e-104,3.22774524994464e-102
"FBgn0023507",2490.47627231445,1.31571638271086,0.0607599309548032,21.6543429532461,5.53143108096963e-104,1.58180490812128e-101
"FBgn0001297",9752.6087393847,1.00883831896171,0.0466150128196068,21.641918728324,7.24259311238551e-104,2.00432923584372e-101
"FBgn0265434",23331.9175822313,0.86593202970818,0.0403356890707954,21.4681352830823,3.09177078937759e-102,8.28884425064699e-100
"FBgn0265185",3028.72535355039,1.32013001704514,0.0615665267678902,21.4423337867039,5.38446824637957e-102,1.39979857835425e-99
"FBgn0014869",2412.70960617688,1.19717478204313,0.0562282305713019,21.2913472446019,1.36545750244961e-100,3.364962706957e-98
"FBgn0038111",1956.29881823906,1.26858424382115,0.059582854590935,21.2910954423146,1.37281378649604e-100,3.364962706957e-98
"FBgn0052626",4392.20598312314,1.06387206830493,0.0504609252081812,21.0830868422611,1.13719419124275e-98,2.70999693518653e-96
"FBgn0266452",1956.793933659,1.44215831778266,0.0687544352927566,20.9754950592198,1.09817665819018e-97,2.54628582449016e-95
"FBgn0032821",3417.7392705258,1.09762588085079,0.0531235221585683,20.6617678243263,7.65113330274026e-95,1.72734401590023e-92
"FBgn0014189",5164.17901235564,0.962676818657569,0.0467302717713676,20.6007108918082,2.70443921132199e-94,5.94907281895675e-92
